timestamp,front_m,back_m,left_m,right_m,up_m,zrange_m
72019,,2.342,2.068,0.264,,0.305
72069,,2.373,2.068,0.264,,0.31
72119,,2.373,2.076,0.269,,0.309
72169,,2.401,2.076,0.269,,0.305
72219,,2.401,2.051,0.265,,0.305
72269,,,2.051,0.265,,0.302
72319,,,2.052,0.27,,0.303
72369,2.522,2.472,2.052,0.27,,0.301
72419,2.522,2.472,2.038,0.271,,0.301
72469,,,2.038,0.271,,0.302
72519,,,2.039,0.275,,0.302
72569,2.513,2.521,2.039,0.275,,0.299
72619,2.513,2.521,2.023,0.275,,0.3
72669,,2.533,2.023,0.275,,0.301
72719,,2.533,2.027,0.277,,0.299
72769,,,2.027,0.277,,0.305
72819,,,2.026,0.281,,0.304
72869,2.38,,2.026,0.281,,0.301
72919,2.38,,2.02,0.285,,0.302
72969,,2.656,2.02,0.285,,0.304
73019,,2.656,2.02,0.285,,0.3
73069,2.341,2.695,2.02,0.285,,0.3
73119,2.341,2.695,2.016,0.29,,0.3
73169,,,2.016,0.29,,0.3
73219,,,2.027,0.288,,0.3
73269,,,2.027,0.288,,0.303
73319,,,2.02,0.295,,0.3
73369,,,2.02,0.295,,0.299
73419,,,2.004,0.299,,0.302
73469,2.209,,2.004,0.299,,0.303
73519,2.209,,2.029,0.312,,0.3
73569,2.147,,2.029,0.312,,0.299
73619,2.147,,2.026,0.366,,0.303
73669,,,2.026,0.366,,0.302
73719,,,2.03,0.482,,0.302
73769,2.119,,2.03,0.482,,0.301
73819,2.119,,2.029,0.564,,0.3
73869,,2.941,2.029,0.564,,0.303
73919,,2.941,2.038,0.548,,0.299
73969,,,2.038,0.548,,0.3
74019,,,2.052,0.523,,0.3
74069,,,2.052,0.523,,0.301
74119,,,2.048,0.521,,0.302
74169,1.982,,2.048,0.521,,0.302
74219,1.982,,2.046,0.534,,0.3
74269,,,2.046,0.534,,0.302
74319,,,2.08,0.547,,0.305
74369,,,2.08,0.547,,0.304
74419,,,2.074,0.563,,0.3
74469,,,2.074,0.563,,0.303
74519,,,2.071,0.582,,0.301
74569,1.865,3.103,2.071,0.582,,0.301
74619,1.865,3.103,2.086,0.586,,0.301
74669,,,2.086,0.586,,0.303
74719,,,2.099,0.598,,0.299
74769,1.827,,2.099,0.598,,0.301
74819,1.827,,2.093,0.611,,0.3
74869,1.772,,2.093,0.611,,0.306
74919,1.772,,2.094,0.642,,0.303
74969,1.767,,2.094,0.642,,0.303
75019,1.767,,2.105,0.715,,0.303
75069,1.707,,2.105,0.715,,0.304
75119,1.707,,2.111,,,0.303
75169,,,2.111,,,0.302
75219,,,2.117,1.193,,0.306
75269,1.637,,2.117,1.193,,0.306
75319,1.637,,2.12,1.245,,0.302
75369,1.618,,2.12,1.245,,0.306
75419,1.618,,2.122,1.287,,0.303
75469,1.58,,2.122,1.287,,0.302
75519,1.58,,2.105,,,0.305
75569,1.506,,2.105,,,0.303
75619,1.506,,2.099,,,0.306
75669,1.506,,2.099,,,0.304
